Provider,Service Area,Service Area Zip Code,Address,Phone Number,Postcode,Borough,latitude,longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
ARCHNY,Bronx 3,"10462, 10472, 10473, 10474","2155 Blackrock Ave, Bronx, NY 10472,

",718-414-1050,10472,BRONX    ,40.828869,-73.851791,2+J1:O209,18,78,2119153,2038080038,Westchester-Unionport                                                      
ARCHNY,Bronx 3,"10462, 10472, 10473, 10474","890 Garrison Ave, Bronx NY 10474,
",929-259-9430,10474,BRONX    ,40.817286,-73.89184,202,17,93,2005939,2027390015,Hunts Point                                                                
ARCHNY,Bronx 4,"10461, 10464, 10465, 10466, 10469, 10475","4377 Bronx Boulevard, Bronx, NY 10466,

",347-947-3920,10466,BRONX    ,40.899174,-73.85825,212,11,418,2097441,2050350034,Woodlawn-Wakefield                                                         
ARCHNY,Bronx 4,"10461, 10464, 10465, 10466, 10469, 10475","2901 White Plains Road, Bronx NY 10467,

",347-913-4694,10467,BRONX    ,40.868024,-73.867283,211,15,336,2054713,2045420001,Bronxdale                                                                  
Bronxworks,Bronx 1,"10451, 10452, 10454, 10455","1130 Grand Concourse, Bronx, NY 10456,

",718-508-3100,10456,BRONX    ,40.832331,-73.91959,204,16,18102,2002833,2024620042,East Concourse-Concourse Village                                           
Bronxworks,Bronx 5,10456,"630 Jackson Avenue, Bronx, NY 10455,

",718-993-2032,10455,BRONX    ,40.815426,-73.908281,201,8,73,2004558,2026430001,Melrose South-Mott Haven North                                             
CAMBA,Brooklyn 1,"11201, 11205, 11213, 11215, 11216, 11217,11225, 11231, 11233, 11238","1117 Eastern Parkway, Brooklyn, NY 11213,

",718-622-7323,11213,BROOKLYN ,40.668837,-73.931675,308,35,351,3259314,3013900044,Crown Heights North                                                        
CAMBA,Brooklyn 1,"11201, 11205, 11213, 11215, 11216, 11217,11225, 11231, 11233, 11238","1958 Fulton Street, Brooklyn, NY 11233,

",718-408-5756 x37100,11233,BROOKLYN ,40.678793,-73.920384,303,41,301,3042090,3015480019,Ocean Hill                                                                 
CAMBA,Brooklyn 2,"11204, 11209, 11210, 11214, 11218, 11219, 11220, 11223, 11224, 11226, 11228, 11229,11230,11232, 11235","2244 Church Ave,  Brooklyn, NY 11226,

",718-408-5766,11226,BROOKLYN ,40.650424,-73.957825,314,40,794,3117228,3051030042,Erasmus                                                                    
CAMBA,Staten Island 1,Staten Island,"209 Bay Street, Staten Island, NY 10301,

",718-226-0496,10301,STATEN IS,40.636872,-74.076248,501,49,21,5114330,5004970007,Stapleton-Rosebank                                                         
CAMBA,Staten Island 1,Staten Island,"120 Stuyvesant Place, 4th fl , Suite 413
Staten, Island, NY 10301,

",718-282-6473,10301,STATEN IS,40.642992,-74.076954,501,49,3,5000084,5000080060,West New Brighton-New Brighton-St. George                                  
CCNS,Queens 1,Queens,"161-10 Jamaica Ave, 5th fl,  
Jamaica, NY 11432,

",718-674-1000,11432,QUEENS   ,40.704033,-73.798412,412,27,44601,4440641,4101010015,Jamaica                                                                    
CCNS,Queens 1,Queens,"1847 Mott Ave, Far Rockaway, NY 11691,

",718-647-1015,11691,QUEENS   ,40.603391,-73.751324,414,31,101001,4298245,4155600017,Far Rockaway-Bayswater                                                     
CCNS,Brooklyn 5,"11207, 11208, 11239","3060 Fulton Street, Brooklyn, NY 11208,

",929-234-3036,11208,BROOKLYN ,40.680824,-73.881858,305,37,1168,3402450,3039580020,East New York                                                              
CCNS,Brooklyn 5,"11207, 11208, 11239","560 Livonia Ave, Brooklyn, NY 11207,

",718-408-7181,11207,BROOKLYN ,40.664372,-73.896521,305,42,1130,3418179,3038207501,East New York (Pennsylvania Ave)                                           
HELP USA - new,Bronx 7,"10459, 10460","3593 Third Ave, Bronx, NY 10456 (entrance on 169 St)
",917-801-4512,10456,BRONX    ,40.832455,-73.905178,203,16,145,2001334,2023737501,Claremont-Bathgate                                                         
HELP USA,Bronx 6,"10457, 10458","1780 Grand Concourse, Bronx, NY 10457,
",347-226-4540,10457,BRONX    ,40.846497,-73.909275,205,15,22901,2094521,2027950014,Mount Hope                                                                 
HELP USA,Bronx 2,"10467, 10470, 10453, 10463, 10468, 10471","1981 Sedgwick Ave, Bronx, NY 10453,

",718-215-6453,10453,BRONX    ,40.856718,-73.916187,205,14,247,2015048,2032300016,University Heights-Morris Heights                                          
SUS,Manhattan 1,Manhattan,"2276 3rd Ave, New York, NY 10035,
",917-492-1019,10035,MANHATTAN,40.802839,-73.936457,111,8,196,1054439,1017720039,East Harlem North                                                          
SUS,Manhattan 1,Manhattan,"265 Henry Street, New York, NY 10002
",917-492-1019,10002,MANHATTAN,40.713857,-73.984532,103,1,202,1079627,1002880078,Lower East Side                                                            
l+J1:O2ongitude,Brooklyn 3,"11206, 11211, 11221, 11222, 11237, 11249, 11251","90 Beaver Street, Brooklyn, NY 11206 
",718-366-4300,11206,BROOKLYN ,40.699705,-73.936714,304,34,389,3071799,3031370011,Bushwick South                                                             
RiseBoro Community Partnership,Brooklyn 3,"11206, 11211, 11221, 11222, 11237, 11249, 11251","1475 Myrtle Ave, Brooklyn, NY 11237

",347-295-3738,11237,BROOKLYN ,40.698973,-73.91684,304,37,433,3075697,3033090002,Bushwick North                                                             
RiseBoro Community Partnership,Brooklyn 6,11212,"145 East 98st, Brooklyn, NY 11212  

",917-819-3200,11212,BROOKLYN ,40.663654,-73.921426,316,41,892,3393311,3035480001,Brownsville                                                                
CCNS ,Brooklyn 4,"11203, 11234, 11236","1900 Ralph Ave, Brooklyn, NY 11234, 
(new site TBA)
#
",929-234-3036,11234,BROOKLYN ,40.630799,-73.918478,318,46,720,3214956,3077630001,Flatlands                                                                  
